Age group,Apache 3,ANZROD,Logistic Regression,Random Forest Classifier,Support Vector Classifier,Gradient Boosted Machine,Deep Learner,Ensemble Classifier,True Ratio
0-29,0.41153486482194085,0.2868885805024686,0.36588497319388497,0.4331258272063454,0.4348635702912598,0.41995972525515934,0.39197311768267706,0.42931637425092156,0.3944223107569721
30-39,0.40513716753175183,0.29333714171634057,0.3884973988641554,0.42535558661335204,0.39447120484359693,0.4015376436580054,0.38543977268028506,0.40712147837165147,0.4259927797833935
40-49,0.46268475708199513,0.3425161095428954,0.44155996273661174,0.4434635653662101,0.42581429222178674,0.4258373424690171,0.42663759761135733,0.4317050666856713,0.42788461538461536
50-59,0.4766441239414893,0.35031858528092563,0.4360949399993059,0.4193076358865001,0.40969315305127896,0.39767368591103625,0.42302704345867803,0.4088914916162718,0.3960843373493976
60-69,0.5658882476141749,0.43929362410529804,0.4694271584674935,0.45025512959667363,0.4503406997164829,0.44313098491908864,0.472387642312582,0.447908938077415,0.4451754385964912
70-79,0.5889176666898204,0.44915654019499995,0.4791055619698824,0.48568821133948925,0.49558020683282655,0.4982780412196649,0.511587617862549,0.4931821531306603,0.5082159624413145
80+,0.5936540108164335,0.45410968137364105,0.49145141439703854,0.5017024931465794,0.5117205975811199,0.5286205750371397,0.5425131408420382,0.5140145552549462,0.5213675213675214
